datetime,elec_value
2021-04-12 18:00:00,389.223
2021-04-12 19:00:00,385.292
2021-04-12 20:00:00,388.785
2021-04-12 21:00:00,394.479
2021-04-12 22:00:00,377.937
2021-04-12 23:00:00,369.279
2021-04-13 00:00:00,357.979
2021-04-13 01:00:00,370.076
2021-04-13 02:00:00,363.624
2021-04-13 03:00:00,372.58
2021-04-13 04:00:00,365.138
2021-04-13 05:00:00,365.49
2021-04-13 06:00:00,349.657
2021-04-13 07:00:00,323.221
2021-04-13 08:00:00,302.994
2021-04-13 09:00:00,318.347
2021-04-13 10:00:00,327.563
2021-04-13 11:00:00,327.63
2021-04-13 12:00:00,335.356
2021-04-13 13:00:00,336.67
2021-04-13 14:00:00,356.837
2021-04-13 15:00:00,340.806
2021-04-13 16:00:00,351.097
2021-04-13 17:00:00,372.126
2021-04-13 18:00:00,374.492
2021-04-13 19:00:00,366.98
2021-04-13 20:00:00,366.717
2021-04-13 21:00:00,358.122
2021-04-13 22:00:00,348.116
2021-04-13 23:00:00,354.182
2021-04-14 00:00:00,348.05
2021-04-14 01:00:00,344.121
2021-04-14 02:00:00,344.385
2021-04-14 03:00:00,343.337
2021-04-14 04:00:00,342.622
2021-04-14 05:00:00,339.564
2021-04-14 06:00:00,332.07
2021-04-14 07:00:00,318.009
2021-04-14 08:00:00,304.696
2021-04-14 09:00:00,310.844
2021-04-14 10:00:00,316.139
2021-04-14 11:00:00,305.432
2021-04-14 12:00:00,306.7
2021-04-14 13:00:00,318.92
2021-04-14 14:00:00,328.197
2021-04-14 15:00:00,333.299
2021-04-14 16:00:00,355.254
2021-04-14 17:00:00,367.827
2021-04-14 18:00:00,365.827
2021-04-14 19:00:00,356.929
2021-04-14 20:00:00,368.118
2021-04-14 21:00:00,371.413
2021-04-14 22:00:00,364.054
2021-04-14 23:00:00,353.383
2021-04-15 00:00:00,336.195
2021-04-15 01:00:00,346.778
2021-04-15 02:00:00,343.118
2021-04-15 03:00:00,349.318
2021-04-15 04:00:00,347.451
2021-04-15 05:00:00,341.664
2021-04-15 06:00:00,336.43
2021-04-15 07:00:00,313.26
2021-04-15 08:00:00,298.57
2021-04-15 09:00:00,303.206
2021-04-15 10:00:00,305.501
2021-04-15 11:00:00,324.491
2021-04-15 12:00:00,315.785
2021-04-15 13:00:00,324.698
2021-04-15 14:00:00,318.071
2021-04-15 15:00:00,316.062
2021-04-15 16:00:00,324.951
2021-04-15 17:00:00,335.067
2021-04-15 18:00:00,347.067
2021-04-15 19:00:00,342.86
2021-04-15 20:00:00,348.556
2021-04-15 21:00:00,367.4
2021-04-15 22:00:00,347.524
2021-04-15 23:00:00,358.922
2021-04-16 00:00:00,341.322
2021-04-16 01:00:00,347.196
2021-04-16 02:00:00,344.224
2021-04-16 03:00:00,348.364
2021-04-16 04:00:00,345.744
2021-04-16 05:00:00,345.665
2021-04-16 06:00:00,340.202
2021-04-16 07:00:00,316.708
2021-04-16 08:00:00,311.683
2021-04-16 09:00:00,316.627
2021-04-16 10:00:00,328.088
2021-04-16 11:00:00,340.639
